Price,Year,Make,Model ,Odometer,Color
13908.93,2018,Honda,Civic,51345,White
15869.61,2018,Honda,Civic,34242,White
14219.26,2018,Honda,Civic,36012,White
14264.29,2018,Honda,Civic,35857,White
13450.54,2018,Honda,Civic,52226,White
12347.67,2018,Honda,Civic,44609,White
9928.52,2018,Honda,Civic,73654,Red
12892.54,2018,Honda,Civic,39296,Red
14740.82,2018,Honda,Civic,26104,Blue
12602.14,2018,Honda,Civic,53354,Red
13174.82,2018,Honda,Civic,47870,Blue
13210.22,2018,Honda,Civic,51937,Red
15179.02,2018,Honda,Civic,20347,Red
13507.32,2018,Honda,Civic,40697,Red
15171.28,2018,Honda,Civic,38896,Red
14166.49,2018,Honda,Civic,37670,Blue
13461.7,2018,Honda,Civic,41805,Other
14395.01,2018,Honda,Civic,43974,Silver
14786.27,2018,Honda,Civic,32444,Silver
13094.6,2018,Honda,Civic,51312,Silver
13738.83,2018,Honda,Civic,44217,Silver
13711.6,2018,Honda,Civic,63492,Silver
12726.88,2018,Honda,Civic,63953,Silver
14898.93,2018,Honda,Civic,45653,Silver
13123.82,2018,Honda,Civic,45906,Silver
13981.97,2018,Honda,Civic,43067,Silver
14626.92,2018,Honda,Civic,40956,Silver
14268.37,2018,Honda,Civic,49581,Silver
15254.24,2018,Honda,Civic,29869,Silver
12678.43,2018,Honda,Civic,65089,Silver
13698.49,2018,Honda,Civic,61663,Silver
13773.08,2018,Honda,Civic,42545,Blue
13302.94,2018,Honda,Civic,52141,Red
13439.65,2018,Honda,Civic,34786,Red
13523.98,2018,Honda,Civic,43229,Blue
16346.2,2018,Honda,Civic,28632,Red
11344.94,2018,Honda,Civic,56843,Blue
14286.04,2018,Honda,Civic,44284,Blue
12109.07,2018,Honda,Civic,56474,Red
12236.25,2018,Honda,Civic,53450,Red
12767.7,2018,Honda,Civic,61113,Black
13463.03,2018,Honda,Civic,48421,White
13862.61,2018,Honda,Civic,42769,Other
9467.37,2018,Honda,Civic,74955,Red
13792.47,2018,Honda,Civic,46410,Red
13438.56,2018,Honda,Civic,40169,Blue
14290.8,2018,Honda,Civic,42691,Black
12569.42,2018,Honda,Civic,33598,Red
15336.94,2018,Honda,Civic,14014,Black
12316.32,2018,Honda,Civic,64344,Red
13819.16,2018,Honda,Civic,37496,Red
13533.89,2018,Honda,Civic,42343,Black
11137.22,2018,Honda,Civic,69493,Blue
13976.06,2018,Honda,Civic,43916,White
13180.19,2018,Honda,Civic,43448,White
11981.5,2018,Honda,Civic,62829,White
12130.89,2018,Honda,Civic,56912,White
16258.84,2018,Honda,Civic,40329,White
13163.08,2018,Honda,Civic,49792,White
13437.6,2018,Honda,Civic,41473,White
11532.66,2018,Honda,Civic,56913,White
15030.66,2018,Honda,Civic,37739,White
